customer_id,credit_score,country,gender,age,tenure_years,balance,num_products,has_credit_card,is_active_member,estimated_salary,churned,complained,satisfaction_score,card_type,points_earned,surname_hash,credit_score_band,age_band,balance_tier,tenure_band,engagement_score
15634602,619,France,Female,42,2,0.0,1,True,True,101348.88,True,True,2,Diamond,464,fdcd57e82f,Fair,36-45,Zero Balance,0-2 yrs,2
15647311,608,Spain,Female,41,1,83807.86,1,False,True,112542.58,False,True,3,Diamond,456,21f5358c1f,Fair,36-45,Under 100k,0-2 yrs,1
15619304,502,France,Female,42,8,159660.8,3,True,False,113931.57,True,True,3,Diamond,377,b839933c7b,Poor,36-45,100k+,6-8 yrs,2
15701354,699,France,Female,39,1,0.0,2,False,False,93826.63,False,False,5,Gold,350,cb1edc7273,Good,36-45,Zero Balance,0-2 yrs,1
15737888,850,Spain,Female,43,2,125510.82,1,True,True,79084.1,False,False,5,Gold,425,483d4bce16,Exceptional,36-45,100k+,0-2 yrs,2
15574012,645,Spain,Male,44,8,113755.78,2,True,False,149756.71,True,True,5,Diamond,484,60a5d1bf57,Fair,36-45,100k+,6-8 yrs,2
15592531,822,France,Male,50,7,0.0,2,True,True,10062.8,False,False,2,Silver,206,9329691ea9,Exceptional,46-55,Zero Balance,6-8 yrs,3
15656148,376,Germany,Female,29,4,115046.74,4,True,False,119346.88,True,True,2,Diamond,282,9cdd05439a,Poor,26-35,100k+,3-5 yrs,2
15792365,501,France,Male,44,4,142051.07,2,False,True,74940.5,False,False,3,Gold,251,30efdfb52f,Poor,36-45,100k+,3-5 yrs,2
15592389,684,France,Male,27,2,134603.88,1,True,True,71725.73,False,False,3,Gold,342,1bb56127cc,Good,26-35,100k+,0-2 yrs,2
15767821,528,France,Male,31,6,102016.72,2,False,False,80181.12,False,False,3,Gold,264,c2aa2599d4,Poor,26-35,100k+,6-8 yrs,1
15737173,497,Spain,Male,24,3,0.0,2,True,False,76390.01,False,False,3,Gold,249,915ea74ac0,Poor,18-25,Zero Balance,3-5 yrs,2
15632264,476,France,Female,34,10,0.0,2,True,False,26260.98,False,False,3,Silver,119,f3a38d6a63,Poor,26-35,Zero Balance,9-10 yrs,2
15691483,549,France,Female,25,5,0.0,2,False,False,190857.79,False,False,3,Platinum,549,0f9aa8a1d9,Poor,18-25,Zero Balance,3-5 yrs,1
15600882,635,Spain,Female,35,7,0.0,2,True,True,65951.65,False,False,2,Gold,318,626928c4f8,Fair,26-35,Zero Balance,6-8 yrs,3
15643966,616,Germany,Male,45,3,143129.41,2,False,True,64327.26,False,False,5,Gold,308,8d770c7f0a,Fair,36-45,100k+,3-5 yrs,2
15737452,653,Germany,Male,58,1,132602.88,1,True,False,5097.67,True,False,2,Silver,163,8b66ab55ee,Fair,56-65,100k+,0-2 yrs,1
15788218,549,Spain,Female,24,9,0.0,2,True,True,14406.41,False,False,3,Silver,544,70852077f7,Poor,18-25,Zero Balance,9-10 yrs,3
15661507,587,Spain,Male,45,6,0.0,1,False,False,158684.81,False,False,3,Platinum,732,08c55618a9,Fair,36-45,Zero Balance,6-8 yrs,0
15568982,726,France,Female,24,6,0.0,2,True,True,54724.03,False,False,4,Gold,477,11c37e60e9,Good,18-25,Zero Balance,6-8 yrs,3
15577657,732,France,Male,41,8,0.0,2,True,True,170886.17,False,False,3,Platinum,568,597d0dd6aa,Good,36-45,Zero Balance,6-8 yrs,3
15597945,636,Spain,Female,32,8,0.0,2,True,False,138555.46,False,False,2,Diamond,336,4dcc9ebf12,Fair,26-35,Zero Balance,6-8 yrs,2
